practiceLoop.thisRepN,practiceLoop.thisTrialN,practiceLoop.thisN,practiceLoop.thisIndex,practiceTrials.thisRepN,practiceTrials.thisTrialN,practiceTrials.thisN,practiceTrials.thisIndex,practCorrect.thisRepN,practCorrect.thisTrialN,practCorrect.thisN,practCorrect.thisIndex,practIncorrect.thisRepN,practIncorrect.thisTrialN,practIncorrect.thisN,practIncorrect.thisIndex,practNoAns.thisRepN,practNoAns.thisTrialN,practNoAns.thisN,practNoAns.thisIndex,stimTrials.thisRepN,stimTrials.thisTrialN,stimTrials.thisN,stimTrials.thisIndex,blackScreen.started,blackScreen.stopped,doPracticePrompt.started,doPracticePrompt.stopped,doPracticeResp.keys,doPracticeResp.rt,doPracticeResp.started,doPracticeResp.stopped,polygon.started,polygon.stopped,practInstr.started,practInstr.stopped,practInstResp.keys,practInstResp.rt,practInstResp.started,practInstResp.stopped,BlackBlank.started,BlackBlank.stopped,audioFileIdx,visualFileIdx,movie_stim_pract.started,movie_stim_pract.stopped,sound_stim_pract.started,sound_stim_pract.stopped,noise_pract.started,noise_pract.stopped,responseOptions,correctResponse,blackRectP.started,blackRectP.stopped,PracticeRespOptions.started,PracticeRespOptions.stopped,PracticeResponse.keys,PracticeResponse.corr,PracticeResponse.rt,PracticeResponse.started,PracticeResponse.stopped,blackRectCorr.started,blackRectCorr.stopped,practiceCorr.started,practiceCorr.stopped,blackRectIncorr.started,blackRectIncorr.stopped,text_incorrect.started,text_incorrect.stopped,blackScreen2.started,blackScreen2.stopped,text.started,text.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,movie_stim.started,movie_stim.stopped,sound_stim.started,sound_stim.stopped,noise_stim.started,noise_stim.stopped,BlackRectStim.started,BlackRectStim.stopped,StimRespOpts.started,StimRespOpts.stopped,StimResponseKey.keys,StimResponseKey.rt,StimResponseKey.started,StimResponseKey.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,17,0,17,0,,,,,,,,,,,,,,,,,88.4177418689942,None,6,-1,,,,,,,F D T TH,,,,,,,,,,,,,,,,,,,,,,,,,,,86.29997575498419,None,86.83361657647765,None,86.83361657647765,None,87.4190999979619,None,87.4190999979619,None,1,0.9725776769919321,87.4190999979619,None,EA,001,2020_Dec_15_1730,AVSpeech,2020.1.2,59.904716875126944,
,,,,,,,,,,,,,,,,,,,,18,0,18,0,,,,,,,,,,,,,,,,,90.71785448095761,None,35,-1,,,,,,,F T TH D,,,,,,,,,,,,,,,,,,,,,,,,,,,89.00135605799733,None,89.5332144414715,None,89.5332144414715,None,90.11968825897202,None,90.11968825897202,None,0,0.5759775100159459,90.11968825897202,None,EA,001,2020_Dec_15_1730,AVSpeech,2020.1.2,59.904716875126944,
,,,,,,,,,,,,,,,,,,,,19,0,19,0,,,,,,,,,,,,,,,,,93.08484124497045,None,14,-1,,,,,,,B TH D G,,,,,,,,,,,,,,,,,,,,,,,,,,,91.30166085896781,None,91.80111169550219,None,91.80111169550219,None,92.40679416799685,None,92.40679416799685,None,1,0.656898105982691,92.40679416799685,None,EA,001,2020_Dec_15_1730,AVSpeech,2020.1.2,59.904716875126944,
,,,,,,,,,,,,,,,,,,,,20,0,20,0,,,,,,,,,,,,,,,,,95.4691189219593,None,26,6,,,,,,,T TH F D,,,,,,,,,,,,,,,,,,,,,,,,,,,93.68492085899925,None,94.18411025349633,None,94.18411025349633,None,94.79084206197876,None,94.79084206197876,None,0,0.6568547339993529,94.79084206197876,None,EA,001,2020_Dec_15_1730,AVSpeech,2020.1.2,59.904716875126944,
,,,,,,,,,,,,,,,,,,,,21,0,21,0,,,,,,,,,,,,,,,,,97.96884114295244,None,30,30,,,,,,,TH G D B,,,,,,,,,,,,,,,,,,,,,,,,,,,96.08442676597042,None,96.58451803147909,None,96.58451803147909,None,97.1910450719879,None,97.1910450719879,None,2,0.7446308090002276,97.1910450719879,None,EA,001,2020_Dec_15_1730,AVSpeech,2020.1.2,59.904716875126944,
,,,,,,,,,,,,,,,,,,,,22,0,22,0,,,,,,,,,,,,,,,,,100.20349932496902,None,16,36,,,,,,,D TH F T,,,,,,,,,,,,,,,,,,,,,,,,,,,98.5689980959869,None,99.06910115250503,None,99.06910115250503,None,99.67148364998866,None,99.67148364998866,None,9,0.5042313290177844,99.67148364998866,None,EA,001,2020_Dec_15_1730,AVSpeech,2020.1.2,59.904716875126944,
,,,,,,,,,,,,,,,,,,,,23,0,23,0,,,,,,,,,,,,,,,,,103.07038234896027,None,31,-1,,,,,,,D G B TH,,,,,,,,,,,,,,,,,,,,,,,,,,,100.81927925598575,None,101.31910732746474,None,101.31910732746474,None,101.92704708100064,None,101.92704708100064,None,2,1.1126712239929475,101.92704708100064,None,EA,001,2020_Dec_15_1730,AVSpeech,2020.1.2,59.904716875126944,
,,,,,,,,,,,,,,,,,,,,24,0,24,0,,,,,,,,,,,,,,,,,105.3042636399623,None,34,-1,,,,,,,B T G D,,,,,,,,,,,,,,,,,,,,,,,,,,,103.68551115097944,None,104.20262045346317,None,104.20262045346317,None,104.79184316500323,None,104.79184316500323,None,9,0.48787332500796765,104.79184316500323,None,EA,001,2020_Dec_15_1730,AVSpeech,2020.1.2,59.904716875126944,
,,,,,,,,,,,,,,,,,,,,25,0,25,0,,,,,,,,,,,,,,,,,108.27147848997265,None,4,-1,,,,,,,B TH D G,,,,,,,,,,,,,,,,,,,,,,,,,,,105.91969810397131,None,106.43634523448418,None,106.43634523448418,None,107.02500306995353,None,107.02500306995353,None,1,1.2147097249981016,107.02500306995353,None,EA,001,2020_Dec_15_1730,AVSpeech,2020.1.2,59.904716875126944,
,,,,,,,,,,,,,,,,,,,,26,0,26,0,,,,,,,,,,,,,,,,,110.55480534798698,None,6,26,,,,,,,D F TH T,,,,,,,,,,,,,,,,,,,,,,,,,,,108.88719356595539,None,109.42064325147658,None,109.42064325147658,None,110.00673356995685,None,110.00673356995685,None,9,0.5209676250233315,110.00673356995685,None,EA,001,2020_Dec_15_1730,AVSpeech,2020.1.2,59.904716875126944,
,,,,,,,,,,,,,,,,,,,,27,0,27,0,,,,,,,,,,,,,,,,,112.83777944400208,None,6,6,,,,,,,F D T TH,,,,,,,,,,,,,,,,,,,,,,,,,,,111.170640738972,None,111.70479882546351,None,111.70479882546351,None,112.29001062596217,None,112.29001062596217,None,1,0.5176703570177779,112.29001062596217,None,EA,001,2020_Dec_15_1730,AVSpeech,2020.1.2,59.904716875126944,
,,,,,,,,,,,,,,,,,,,,28,0,28,0,,,,,,,,,,,,,,,,,115.22251974698156,None,18,-1,,,,,,,D TH F G,,,,,,,,,,,,,,,,,,,,,,,,,,,113.4221542289597,None,113.93729504049406,None,113.93729504049406,None,114.53909838199615,None,114.53909838199615,None,9,0.6605678889900446,114.53909838199615,None,EA,001,2020_Dec_15_1730,AVSpeech,2020.1.2,59.904716875126944,
