stimFile
AUTO
BAG
EARTH
HIGHWAY
HOUSE
HUGE
INFANT
INSTRUCT
JACKET
JOGGING
JOURNAL
KID
LEAP
LITTLE
MAN
MIX
PHOTO
ROCK
SEA
SHOUT
START
SWEETS
TRAIL
TRIP
TROUSERS
TRUNK
WOMAN
