stimFile,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,text.started,text.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,image.started,image.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,rotate.keys,rotate.started,rotate.stopped,rotate.rt,session,participant,date,expName,psychopyVersion,frameRate,
,,,,,5.441529494011775,None,space,0.4577889610081911,5.441529494011775,None,,,,,,,,,,,001,,2021_Mar_12_1124,PictureNaming,2020.1.2,59.707863623711255,
Images/Tigerclr.jpg,0,0,0,43,,,,,,,6.9075646990095265,None,space,1.8443325120024383,5.991001505986787,None,None,5.991001505986787,None,,001,,2021_Mar_12_1124,PictureNaming,2020.1.2,59.707863623711255,
Images/Bearclr.jpg,0,1,1,1,,,,,,,8.441048721026164,None,space,1.1203421149984933,7.874942702008411,None,None,7.874942702008411,None,,001,,2021_Mar_12_1124,PictureNaming,2020.1.2,59.707863623711255,
Images/Chickenclr.jpg,0,2,2,10,,,,,,,9.791482407017611,None,space,2.2660915500018746,9.041196696984116,None,right,9.041196696984116,None,1.1379687150474638,001,,2021_Mar_12_1124,PictureNaming,2020.1.2,59.707863623711255,
Images/Frogclr.jpg,0,3,3,19,,,,,,,12.125082638987806,None,space,2.4696723960223608,11.34166636998998,None,right,11.34166636998998,None,1.6455641260254197,001,,2021_Mar_12_1124,PictureNaming,2020.1.2,59.707863623711255,
Images/Bookclr.jpg,0,4,4,5,,,,,,,14.408693281002343,None,space,1.9852710879640654,13.858035603014287,None,left,13.858035603014287,None,0.8411562229739502,001,,2021_Mar_12_1124,PictureNaming,2020.1.2,59.707863623711255,
Images/Elephantclr.jpg,0,5,5,17,,,,,,,16.759199811029248,None,space,1.9589456320391037,15.892354252981022,None,None,15.892354252981022,None,,001,,2021_Mar_12_1124,PictureNaming,2020.1.2,59.707863623711255,
Images/Dogclr.jpg,0,6,6,14,,,,,,,18.65890382998623,None,space,1.342495811986737,17.892794135026634,None,None,17.892794135026634,None,,001,,2021_Mar_12_1124,PictureNaming,2020.1.2,59.707863623711255,
Images/Pigclr.jpg,0,7,7,34,,,,,,,19.959769779001363,None,space,2.8311968650086783,19.276123644027393,None,right,19.276123644027393,None,1.823118545988109,001,,2021_Mar_12_1124,PictureNaming,2020.1.2,59.707863623711255,
Images/Clockclr.jpg,0,8,8,11,,,,,,,22.76312850601971,None,space,1.5160126310074702,22.143332952982746,None,None,22.143332952982746,None,,001,,2021_Mar_12_1124,PictureNaming,2020.1.2,59.707863623711255,
Images/Cakeclr.jpg,0,9,9,6,,,,,,,24.327362301002722,None,space,1.9331012039911002,23.694239799981005,None,right,23.694239799981005,None,1.1250753729837015,001,,2021_Mar_12_1124,PictureNaming,2020.1.2,59.707863623711255,
Images/Birdclr.jpg,0,10,10,4,,,,,,,26.167165277991444,None,space,1.8216754129971378,25.66163184097968,None,right,25.66163184097968,None,1.2695476270164363,001,,2021_Mar_12_1124,PictureNaming,2020.1.2,59.707863623711255,
Images/Spoonclr.jpg,0,11,11,40,,,,,,,28.47850828798255,None,space,1.5868052950245328,27.528515268990304,None,None,27.528515268990304,None,,001,,2021_Mar_12_1124,PictureNaming,2020.1.2,59.707863623711255,
Images/Treeclr.jpg,0,12,12,45,,,,,,,29.718941015016753,None,space,2.6342801389982924,29.161037818004843,None,right,29.161037818004843,None,2.042351196985692,001,,2021_Mar_12_1124,PictureNaming,2020.1.2,59.707863623711255,
Images/Scissorsclr.jpg,0,13,13,38,,,,,,,32.81291948497528,None,space,1.9017893439740874,31.84558071102947,None,right,31.84558071102947,None,1.5336546929902397,001,,2021_Mar_12_1124,PictureNaming,2020.1.2,59.707863623711255,
Images/Pianoclr.jpg,0,14,14,33,,,,,,,34.34629400598351,None,space,2.0232435580110177,33.796077299979515,None,right,33.796077299979515,None,1.7431534510105848,001,,2021_Mar_12_1124,PictureNaming,2020.1.2,59.707863623711255,
Images/Cowclr.jpg,0,15,15,13,,,,,,,36.71963148500072,None,space,1.884775331011042,35.862574256025255,None,right,35.862574256025255,None,1.684657639998477,001,,2021_Mar_12_1124,PictureNaming,2020.1.2,59.707863623711255,
Images/Bedclr.jpg,0,16,16,2,,,,,,,38.7635294420179,None,space,1.9191047920030542,37.79619910399197,None,None,37.79619910399197,None,,001,,2021_Mar_12_1124,PictureNaming,2020.1.2,59.707863623711255,
Images/Roosterclr.jpg,0,17,17,37,,,,,,,40.730595612025354,None,space,1.2964767349767499,39.762828606006224,None,None,39.762828606006224,None,,001,,2021_Mar_12_1124,PictureNaming,2020.1.2,59.707863623711255,
