stimFile,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,text.started,text.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,image.started,image.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,session,participant,date,expName,psychopyVersion,frameRate,
,,,,,6.568513737001922,None,space,0.4672755349893123,6.568513737001922,None,,,,,,,001,,2020_Jun_01_1610,PictureNaming,2020.1.2,60.10288869009309,
Images/Trainclr.jpg,0,0,0,44,,,,,,,7.967986382980598,None,space,1.2122331899881829,7.151541832980001,None,001,,2020_Jun_01_1610,PictureNaming,2020.1.2,60.10288869009309,
Images/Bicycleclr.jpg,0,1,1,3,,,,,,,9.235038888989948,None,space,1.0706688220088836,8.405105541984085,None,001,,2020_Jun_01_1610,PictureNaming,2020.1.2,60.10288869009309,
