stimFile,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,text.started,text.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,image.started,image.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,session,participant,date,expName,psychopyVersion,frameRate,
,,,,,5.569250202999683,None,space,0.5891600830073003,5.569250202999683,None,,,,,,,001,,2020_Jun_01_1529,PictureNaming,2020.1.2,59.870669892966205,
Images/Rabbitclr.jpg,0,0,0,36,,,,,,,7.11845947499387,None,space,1.2182439370080829,6.2522593140020035,None,001,,2020_Jun_01_1529,PictureNaming,2020.1.2,59.870669892966205,
